id,license_id,account_number,site_number,legal_name,doing_business_as_name,address,city,state,zip_code,ward,precinct,ward_precinct,police_district,license_code,license_description,business_activity_id,business_activity,license_number,application_type,application_created_date,application_requirements_complete,payment_date,conditional_approval,license_term_start_date,license_term_expiration_date,license_approved_for_issuance,date_issued,license_status,license_status_change_date,ssa,latitude,longitude,location
32843-20030516,1347072,32225,1,"RUSSIAN TEA TIME, LLC",RUSSIAN TEA TIME,77 E ADAMS ST,CHICAGO,IL,60603,42,9,42-9,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,32843,RENEW,2003-03-25,2003-07-31,2003-04-23,N,2003-05-16,2004-05-15,2003-07-31,2003-07-31,AAI,,,41.879436243,-87.624854359,"(41.879436242790305, -87.62485435905238)"
1696582-20071116,1866357,303570,1,CHROMYS TOWING INCORPORATED #2,CHROMYS TOWING INCORPORATED #2,2033 W FERDINAND ST,CHICAGO,IL,60612,27,35,27-35,12,1010,Limited Business License,,,1696582,RENEW,,2007-09-21,2007-10-25,N,2007-11-16,2008-09-15,2007-10-25,2007-10-26,AAI,,,41.890277726,-87.678228457,"(41.89027772589291, -87.67822845663535)"
1302151-20040216,1465921,255256,1,DUNYA FOOD INC.,DUNYA FOOD INC.,5300 S WOOD ST,CHICAGO,IL,60609,16,38,16-38,9,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1302151,RENEW,,2003-12-15,2004-01-09,N,2004-02-16,2005-02-15,2003-12-22,2004-01-12,AAI,,,41.797541351,-87.669687376,"(41.79754135083283, -87.66968737586951)"
1448011-20100416,2019681,271253,1,SANDHYA R. PATEL,OM LOBBY SHOP,105 W ADAMS ST 1ST,CHICAGO,IL,60603,42,9,42-9,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1448011,RENEW,,2010-02-11,2010-04-02,N,2010-04-16,2012-04-15,2010-04-02,2010-04-05,AAI,,,41.879302729,-87.631002223,"(41.8793027287716, -87.63100222341788)"
2359230-20181016,2620250,393751,1,"Galls, LLC","Galls, LLC",1342 W MADISON ST 1,CHICAGO,IL,60607,27,,27-,,1010,Limited Business License,904,Retail Sales of General Merchandise,2359230,RENEW,,2018-08-15,2018-10-15,N,2018-10-16,2020-10-15,2018-10-15,2018-10-15,AAI,,,41.881658286,-87.661305658,"(41.88165828616498, -87.6613056575013)"
1767314-20080116,1878085,310314,1,ESPERANZA PEREZ,ESPERANZA PEREZ,4100 S ASHLAND AVE,CHICAGO,IL,60609,12,16,12-16,9,1010,Limited Business License,,,1767314,RENEW,,2007-11-26,2009-07-30,N,2008-01-16,2010-01-15,2009-07-30,2009-07-30,AAI,,10,41.819441426,-87.665375545,"(41.81944142629576, -87.6653755449091)"
1095355-20110416,2081709,208095,1,TRAPANI CONSTRUCTION COMPANY INC,TRAPANI CONSTRUCTION COMPANY INC,1800 E NORTHWEST HWY,ARLINGTON HEIGHTS,IL,60004,,,,,1010,Limited Business License,,,1095355,RENEW,,2011-02-15,2011-04-11,N,2011-04-16,2013-04-15,2011-04-11,2011-04-12,AAI,,,,,
1921476-20080725,1921476,320866,2,MYRON & PHILS STEAK HOUSE INC,MYRON & PHIL REST.,6400 N KINZUA AVE,CHICAGO,IL,60646,41,,41-,16,1329,Special Event Food,814,Special Event Food,1921476,ISSUE,2008-07-23,2008-07-23,2008-07-25,N,2008-07-25,2008-07-27,2008-07-25,2008-07-25,AAI,,,,,
11068-20030216,1311054,26648,1,JOE & PETE NOWAK,J & P SERVICE,2515 N CICERO AVE 1ST,CHICAGO,IL,60639,31,11,31-11,25,1569,Motor Vehicle Repair : Engine Only (Class II),,,11068,RENEW,,2002-12-17,2003-01-06,N,2003-02-16,2004-02-15,2003-01-13,2003-01-14,AAI,,,41.926562264,-87.746242721,"(41.9265622639881, -87.74624272078668)"
2543124-20170712,2543124,41349,3,EL RANCHITO RESTAURANT CORP,EL RANCHITO,1000 W CERMAK RD,CHICAGO,IL,60608,25,23,25-23,12,1329,Special Event Food,942,5 Day Single - Special Event Food,2543124,ISSUE,2017-07-10,2017-07-10,2017-07-12,N,2017-07-12,2017-07-30,2017-07-12,2017-07-12,AAI,,,41.852685383,-87.651492367,"(41.852685383495775, -87.65149236677266)"
66317-20011116,1304234,59626,1,HERBERT MYRTHIL,HERB REFRIGERATION,5329 W NORTH AVE 1ST,CHICAGO,IL,60639,37,53,37-53,25,1010,Limited Business License,,,66317,RENEW,,2002-11-20,2002-11-20,N,2001-11-16,2002-11-15,2002-11-20,2002-11-20,AAI,,,41.909346054,-87.759282829,"(41.90934605389266, -87.75928282937097)"
1303-20061116,1754232,85291,3,TREASURE ISLAND FOODS INC,TREASURE ISLAND FOODS INC,75 W ELM ST,CHICAGO,IL,60610,2,3,2-3,18,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1303,RENEW,,2006-09-20,2006-11-04,N,2006-11-16,2007-11-15,2006-11-04,2006-11-06,AAI,,,41.903026137,-87.631348772,"(41.90302613678393, -87.6313487721985)"
36731-20060816,1727492,64039,1,YAHYA HAMMOUDEH,MAGGY'S FOOD,4458 S CALIFORNIA AVE 1ST,CHICAGO,IL,60632,15,10,15-10,9,1781,Tobacco,763,Retail Sale of Tobacco,36731,RENEW,,2006-06-21,2006-08-11,N,2006-08-16,2007-08-15,2006-08-11,2006-08-14,AAI,,,41.812001745,-87.694464363,"(41.8120017452824, -87.694464362559)"
20882-20060516,1688710,63323,4,"UNIVERSITY FOOD SYSTEMS, INC.",UNIVERSITY FOOD SYSTEMS,315 S PLYMOUTH CT 1ST,CHICAGO,IL,60604,4,49,4-49,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,20882,RENEW,,2006-03-27,2006-05-06,N,2006-05-16,2007-05-15,2006-05-06,2006-05-08,AAI,,1,41.877749261,-87.62859178,"(41.87774926131358, -87.62859178012015)"
1194016-20040216,1458924,60475,2,VICTOR A BARRERA,NEIGHBORHOOD CLEANERS,2059 W IRVING PARK RD,CHICAGO,IL,60618,47,29,47-29,19,1010,Limited Business License,,,1194016,RENEW,,2003-12-15,2004-02-06,N,2004-02-16,2005-02-15,2003-12-22,2004-02-09,AAI,,38,41.954011965,-87.681119283,"(41.95401196536202, -87.68111928325516)"
36024-20040216,1460692,86138,7,MEGME INC,JACKSON HEWITT TAX SERVICE,724 E 87TH ST # 1ST,CHICAGO,IL,60619,6,3,6-3,6,1010,Limited Business License,,,36024,RENEW,,2003-12-15,2004-01-21,N,2004-02-16,2005-02-15,2003-12-22,2004-03-24,AAI,,51,41.736738484,-87.606268148,"(41.73673848405874, -87.6062681479812)"
39130-20030816,1368486,54838,1,ETHEL L MCCLENDON,J'S TOWING AND REPAIR,8204 S HALSTED ST 1ST,CHICAGO,IL,60620,21,34,21-34,6,1569,Motor Vehicle Repair : Engine Only (Class II),,,39130,RENEW,,2003-06-24,2003-08-13,N,2003-08-16,2004-08-15,2003-08-13,2003-08-14,AAI,,,41.74498162,-87.644023512,"(41.74498162039695, -87.64402351157331)"
1698061-20180416,2579411,2737,2,DAVID A NOYES & CO,"Sanctuary Securities, Inc.",209 S LA SALLE ST 12TH,CHICAGO,IL,60604,42,9,42-9,1,1010,Limited Business License,,,1698061,RENEW,,2018-02-15,2018-03-09,N,2018-04-16,2020-04-15,2018-03-09,2018-04-11,AAI,,,41.87911455,-87.63213674,"(41.87911455044448, -87.63213673978143)"
41181-20050816,1606146,55207,1,VICTOR GUERRERO,LINIA BLANCA,2460 W 47TH ST 1ST,CHICAGO,IL,60632,15,20,15-20,9,1010,Limited Business License,,,41181,RENEW,,2005-06-21,2005-07-28,N,2005-08-16,2006-08-15,2005-07-28,2005-07-29,AAI,,,41.808512359,-87.686626187,"(41.808512358649104, -87.68662618718068)"
1696869-20060425,1696869,303684,1,3815 KENNETH LLC,3815 KENNETH LLC,1920 W IRVING PARK RD,CHICAGO,IL,60613,47,12,47-12,19,1020,Residential Real Estate Developer,,,1696869,ISSUE,2006-04-24,2006-04-24,2006-04-24,N,2006-04-25,2006-08-15,2006-04-24,2006-04-25,AAI,,38,41.954286696,-87.677205185,"(41.954286695691366, -87.67720518471181)"
1619099-20190416,2649820,294386,1,"PRIME CARE HOME HEALTH SERVICES, INC.","PRIME CARE HOME HEALTH SERVICES, INC.",7383 N LINCOLN AVE 120,LINCOLNWOOD,IL,60712,,,,,1010,Limited Business License,,,1619099,RENEW,,2019-02-22,2019-05-07,N,2019-04-16,2021-04-15,2019-05-07,2019-07-12,AAI,,,,,
2293572-20171116,2558812,385985,1,"SACRED ART GALLERY, LLC","SACRED ART GALLERY, LLC",4619 N LINCOLN AVE 1ST,CHICAGO,IL,60625,47,33,47-33,19,1010,Limited Business License,767,Retail Sales of General Merchandise and Non-Perishable Food,2293572,RENEW,,2017-09-15,2017-11-02,N,2017-11-16,2019-11-15,2017-11-02,2017-11-03,AAC,2018-08-27,21,41.96549428,-87.686338189,"(41.96549427981225, -87.68633818927108)"
1903059-20120616,2150073,310964,3,"FRESENIUS MEDICAL CARE OF ILLINOIS, LLC",FRESENIUS MEDICAL CARE OFCHICAGO WESTSIDE DIALYSIS,1340 S DAMEN AVE,CHICAGO,IL,60608,28,36,28-36,12,1010,Limited Business License,,,1903059,RENEW,,2012-04-16,2012-07-16,N,2012-06-16,2014-06-15,2012-06-08,2012-06-11,AAI,,,41.863734391,-87.67631269,"(41.86373439089944, -87.67631268999324)"
1476346-20051116,1640228,269491,2,VIDEO MEXICO INC,VIDEO MEXICO INC.,4204-08 W NORTH AVE 2ND,CHICAGO,IL,60639,26,27,26-27,25,1010,Limited Business License,,,1476346,RENEW,,2005-09-22,2005-11-07,N,2005-11-16,2006-11-15,2005-11-07,2005-11-08,AAI,,,41.909925247,-87.731557216,"(41.909925247057885, -87.73155721632436)"
2542802-20190816,2675495,389981,2,"SAM'S WEST, INC.",SAM'S CLUB # 6328,2601 S CICERO AVE,CICERO,IL,60804,,,,,1781,Tobacco,865,Wholesale Tobacco Product Sales,2542802,RENEW,,2019-06-15,2019-07-01,N,2019-08-16,2020-08-15,2019-07-01,2019-08-14,AAI,,,,,
2609375-20180709,2609375,429070,1,ANA MAYA,ANA MAYA,4113 N MCVICKER AVE 2ND,CHICAGO,IL,60634,38,21,38-21,16,4406,Peddler License,769,"Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way",2609375,ISSUE,2018-07-09,2018-07-09,2018-07-09,N,2018-07-09,2020-07-15,,2018-07-09,AAI,,,41.955294528,-87.777927648,"(41.95529452835747, -87.7779276483241)"
15758-20020216,1210115,51655,3,OUNCE OF PREVENTION FUND,EARLY CHILDHOOD EDUCARE CENTER,5044 S WABASH AVE 1ST,CHICAGO,IL,60615,3,40,3-40,2,1584,Day Care Center 2 - 6 Years,,,15758,RENEW,,2001-12-20,2002-02-05,N,2002-02-16,2003-02-15,2002-03-12,2002-03-13,AAI,,52,41.802457738,-87.624432595,"(41.8024577384093, -87.62443259498743)"
6338-20080716,1905488,3601,1,AIDA FOOD & LIQUOR,AIDA FOOD & LIQUOR,7923 S HALSTED ST,CHICAGO,IL,60620,17,2,17-2,6,1474,Package Goods,774,Retail Sales of Packaged Liquor,6338,RENEW,,2008-05-15,2008-06-26,N,2008-07-16,2010-07-15,2008-06-26,2008-06-27,AAI,,32,41.749931458,-87.643877125,"(41.749931458226115, -87.643877125327)"
23989-20070516,1808292,29913,1,SCALAMANDRE SILKS,SCALAMANDRE SILKS,222 W MERCHANDISE MART PLZ 626,CHICAGO,IL,60654,42,14,42-14,18,1010,Limited Business License,,,23989,RENEW,,2007-03-23,2007-04-26,N,2007-05-16,2008-05-15,2007-04-26,2007-04-27,AAI,,,41.888074281,-87.634955203,"(41.8880742810662, -87.63495520292739)"
2470556-20180110,2470556,29168,9,"CHICAGO BUILDING CONSULTING SERVICES, INC.",LIZA J CAMACHO,205 W RANDOLPH ST 10 1020,CHICAGO,IL,60606,42,9,42-9,1,4404,Regulated Business License,654,Employee of Expediter Service,2470556,ISSUE,2016-06-10,2017-12-26,2017-12-27,N,2018-01-10,2018-09-15,2018-01-09,2018-01-10,AAC,2018-06-06,,41.884359193,-87.634079901,"(41.88435919296336, -87.6340799011323)"
1474524-20040129,1474524,272403,1,"DANIELLSON, INC.",BELLINI,2001 N HALSTED ST,CHICAGO,IL,60614,43,11,43-11,18,1010,Limited Business License,,,1474524,ISSUE,2004-01-21,2004-01-28,2004-01-28,N,2004-01-29,2004-05-15,2004-01-28,2004-01-29,AAI,,,41.918273861,-87.648365816,"(41.91827386141977, -87.64836581568453)"
1888079-20080204,1888079,326902,1,"DOERGE CAPITAL, LLC","DOERGE CAPITAL, LLC",221 N LA SALLE ST 9 900,CHICAGO,IL,60601,42,9,42-9,1,1010,Limited Business License,,,1888079,ISSUE,2008-01-31,2008-02-01,2008-02-01,N,2008-02-04,2008-09-15,2008-02-01,2008-02-04,AAI,,,41.886308568,-87.63231876,"(41.886308567767294, -87.63231875970524)"
61211-20030216,1309346,19312,1,LOMANTO INCORPORATED,KEYSTONE ACE HARDWARE,4050 W LAWRENCE AVE 1ST,CHICAGO,IL,60630,39,8,39-8,17,1010,Limited Business License,,,61211,RENEW,,2002-12-17,2003-01-08,N,2003-02-16,2004-02-15,2003-01-08,2003-01-30,AAI,,,41.968329741,-87.73010525,"(41.96832974128698, -87.73010524952895)"
1548501-20071116,1863935,285967,1,A LITTLE SASS LLC,A LITTLE SASS LLC,1647 W ERIE ST 2,CHICAGO,IL,60622,1,33,1-33,12,1012,Home Occupation,,,1548501,RENEW,,2007-09-21,2007-10-06,N,2007-11-16,2008-11-15,2007-10-06,2007-10-09,AAI,,,41.89320305,-87.669059952,"(41.893203050398895, -87.66905995229952)"
1095305-20020816,1266786,208071,1,NU-LOOK INTERNATIONAL INC,CLARK MART,4525 - 4527 N CLARK ST,CHICAGO,IL,60640,46,41,46-41,19,1010,Limited Business License,,,1095305,RENEW,,2002-06-28,2002-07-22,N,2002-08-16,2003-08-15,2002-07-22,2002-09-06,AAI,,31,41.964236243,-87.666368634,"(41.96423624293838, -87.66636863369864)"
1679025-20060214,1679025,300802,1,ALICIA DE LA SANCHA,ALICIA DE LA SANCHA,4545 W DIVISION ST P-7,CHICAGO,IL,60651,37,30,37-30,11,1010,Limited Business License,,,1679025,ISSUE,2006-02-10,2006-02-10,2006-02-10,N,2006-02-14,2006-11-15,2006-02-10,2006-02-14,AAI,,,41.902331663,-87.740458945,"(41.902331662977616, -87.74045894485229)"
1574474-20050119,1574474,286696,1,ANDREW M. SATO,AIKIDO WORLD ALLIANCE,825 W SHERIDAN RD,CHICAGO,IL,60613,46,5,46-5,19,1010,Limited Business License,,,1574474,ISSUE,2005-01-18,2005-01-18,2005-01-18,N,2005-01-19,2005-08-15,2005-01-18,2005-01-19,AAC,2005-03-09,18,41.952621302,-87.65067083,"(41.95262130224679, -87.65067083002884)"
1969153-20090424,1969153,6775,2,"ELVIRA ARTEAGA ENTERPRISES, INC.",SUPER MERCADO GUADALAJARA,2700 S ROCKWELL ST,CHICAGO,IL,60608,12,6,12-6,10,1329,Special Event Food,814,Special Event Food,1969153,ISSUE,2009-04-24,2009-04-24,2009-04-24,N,2009-04-24,2009-04-26,2009-04-24,2009-04-24,AAI,,,41.842480805,-87.69041274,"(41.84248080454108, -87.6904127401429)"
2718359-20200310,2718359,410641,2,KEYENCE CORPORATION OF AMERICA,KEYENCE CORPORATION OF AMERICA,8725 W HIGGINS RD 2 200,CHICAGO,IL,60631,41,,41-,,1010,Limited Business License,602,Administrative Commercial Office,2718359,C_LOC,2020-03-04,2020-03-04,2020-03-09,N,2020-03-10,2020-11-15,2020-03-09,2020-03-10,AAI,,,41.987409597,-87.844388665,"(41.98740959681793, -87.84438866503623)"
2293728-20171116,2558836,386069,1,TRENZ BEAUTY ACADEMY LLC,TRENZ BEAUTY ACADEMY,2605 W 79TH ST,CHICAGO,IL,60652,18,14,18-14,8,1010,Limited Business License,144,"Hair, Nail, and Skin Care Services",2293728,RENEW,,2017-09-15,2017-10-05,N,2017-11-16,2019-11-15,2017-10-05,2017-10-05,AAI,,,41.749851735,-87.688066748,"(41.74985173466195, -87.68806674847644)"
1355526-20130816,2266582,262999,1,LINDA STRBICH,LINDA'S CLOSET,5108 W MONTROSE AVE,CHICAGO,IL,60641,45,40,45-40,16,1010,Limited Business License,,,1355526,RENEW,,2013-06-15,2013-07-03,N,2013-08-16,2015-08-15,2013-07-03,2013-07-05,AAI,,,41.960738258,-87.754931057,"(41.96073825775026, -87.75493105662977)"
2042703-20180716,2597603,270562,2,"A KNOCK AT MIDNIGHT, NFP",A KNOCK AT MIDNIGHT,400 W 76TH ST 2ND 206,CHICAGO,IL,60620,6,38,6-38,6,1010,Limited Business License,,,2042703,RENEW,,2018-05-15,2018-06-26,N,2018-07-16,2020-07-15,2018-06-26,2018-06-27,AAI,,,41.756362527,-87.634503816,"(41.75636252722522, -87.63450381551364)"
21087-20050516,1581808,8710,1,"ROSAL'S CUCINA, INC.",ROSAL'S CUCINA,1154 W TAYLOR ST 1ST AND 2ND,CHICAGO,IL,60607,25,27,25-27,12,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,21087,RENEW,,2005-03-23,2005-04-20,N,2005-05-16,2006-05-15,2005-04-20,2005-04-21,AAI,,,41.869530715,-87.656429865,"(41.86953071519485, -87.65642986541329)"
2578715-20180411,2578715,424720,1,"MARISCOS EL PIRATA, INC.",LA PALAPA,3350 N HARLEM AVE 1ST,CHICAGO,IL,60634,29,31,29-31,16,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2578715,ISSUE,2018-01-31,2018-03-02,2018-03-02,N,2018-04-11,2020-04-15,2018-04-10,2018-04-11,AAI,,,41.941242142,-87.807009257,"(41.941242141901604, -87.80700925680553)"
1122532-20040816,1508226,210843,1,JULIA MARY MORAN,JULIA MORAN,10112 S HOYNE AVE,CHICAGO,IL,60643,19,26,19-26,22,1525,Massage Therapist,,,1122532,RENEW,,2004-06-30,2004-08-02,N,2004-08-16,2005-08-15,2004-08-02,2004-08-03,AAC,2005-01-03,,41.709685623,-87.67545669,"(41.70968562286394, -87.67545668953963)"
1142486-20040216,1462681,214351,1,"VIKINGS SECURITY CONSULTANTS, INC","VIKING SECURITY CONSULTANTS, INC",1050 N STATE ST,CHICAGO,IL,60610,2,4,2-4,18,1010,Limited Business License,,,1142486,RENEW,,2003-12-15,2004-01-20,N,2004-02-16,2005-02-15,2003-12-22,2004-01-21,AAI,,,41.901867357,-87.628492145,"(41.901867356818784, -87.62849214526828)"
1046040-20091116,1993216,18419,1,"BJT, INC.",DUNLAYS ON THE SQUARE,3137-3139 W LOGAN BLVD 1,CHICAGO,IL,60647,32,14,32-14,14,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1046040,RENEW,,2009-09-15,2009-11-13,N,2009-11-16,2011-11-15,2009-11-13,2009-11-16,AAI,,,41.92786354,-87.706415101,"(41.92786354046742, -87.70641510084438)"
42835-20031116,1414102,34905,1,"MILWAUKEE AVENUE, INC.",NICK'S BEER GARDEN,1516 N MILWAUKEE AVE 1ST,CHICAGO,IL,60622,1,8,1-8,14,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,42835,RENEW,,2003-09-26,2003-11-06,N,2003-11-16,2004-11-15,2003-11-06,2003-11-07,AAI,,33,41.908995615,-87.675531656,"(41.90899561514011, -87.67553165647173)"
39653-20031116,1430843,34014,1,MI H. LEE,NORWOOD CLEANER,6124 W IRVING PARK RD,CHICAGO,IL,60634,38,21,38-21,16,1010,Limited Business License,,,39653,RENEW,,2003-09-26,2003-10-22,N,2003-11-16,2004-11-15,2003-10-22,2003-10-23,AAI,,,41.953107779,-87.78038512,"(41.95310777887343, -87.7803851204506)"
2189722-20121001,2189722,295643,4,"A & B ENVIRONMENTAL CONSTRUCTION, INC","A & B ENVIRONMENTAL CONSTRUCTION, INC.",205 E NORTH AVE,NORTH LAKE,IL,60164,,,,,1011,Home Repair,,,2189722,C_LOC,2012-10-01,2012-10-01,2012-10-01,N,2012-10-01,2014-05-15,2012-10-01,2012-10-01,AAC,2012-12-29,,,,
3323-20050816,1601958,24689,1,GEO-RAE CORP,GEO-RAE CORP,4500 S TRIPP AVE 3RD,CHICAGO,IL,60632,14,2,14-2,8,1010,Limited Business License,,,3323,RENEW,,2005-06-21,2005-07-07,N,2005-08-16,2006-08-15,2005-07-07,2005-07-08,AAI,,,41.811352973,-87.730056705,"(41.811352973426544, -87.73005670469671)"
1915000-20100716,2035715,333350,1,"ENVIROMAX-HVAC/R, LTD.","ENVIROMAX-HVAC/R, LTD.",9028 N CHURCHILL CIRCLE DR,NILES,IL,60714,,,,,1010,Limited Business License,,,1915000,RENEW,,2010-05-17,2010-07-16,N,2010-07-16,2012-07-15,2010-07-16,2010-07-19,AAI,,,,,
1335952-20050216,1565696,248236,1,"Lakeview General Contractor, Inc.","Lakeview General Contractor, Inc.",4350 N DAMEN AVE,CHICAGO,IL,60618,47,28,47-28,19,1012,Home Occupation,,,1335952,RENEW,,2004-12-20,2005-03-14,N,2005-02-16,2006-02-15,2005-03-14,2005-03-15,AAI,,31,41.961155557,-87.679099306,"(41.961155556668494, -87.67909930621084)"
15762-20061116,1751808,51656,1,JFH EDUCATIONAL ACADEMY INC,JOLLY FUN HOUSE PLAYSCHOOLS,7559 W ADDISON ST 1ST,CHICAGO,IL,60634,38,9,38-9,16,1584,Day Care Center 2 - 6 Years,,,15762,RENEW,,2006-09-20,2007-01-05,N,2006-11-16,2007-11-15,2007-01-05,2007-01-08,AAI,,,41.945064857,-87.816734028,"(41.945064857019986, -87.81673402827133)"
67830-20070816,1829304,44124,1,BRUCE O TAYLOR,PRECIOUS MEMORIES FUNERAL HOME,7605 S HALSTED ST 1ST,CHICAGO,IL,60620,17,25,17-25,6,1010,Limited Business License,,,67830,RENEW,,2007-06-21,2007-07-24,N,2007-08-16,2008-07-15,2007-07-24,2007-07-25,AAI,,,41.755887288,-87.644032364,"(41.75588728786988, -87.64403236424604)"
1986419-20180516,2586856,346151,1,COMBOO ENTERPRISES INC,DUNKIN DONUTS,626 S CLARK ST 1 1,CHICAGO,IL,60605,4,1,4-1,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1986419,RENEW,,2018-03-15,2018-04-21,N,2018-05-16,2020-05-15,2018-04-21,2018-06-29,AAI,,,41.873996794,-87.630805503,"(41.87399679425393, -87.63080550326386)"
1493363-20040610,1493363,210416,1,"WINSTON SAUSAGES,INC.","Winston's Sausage, Inc.",4701 W 63RD ST,CHICAGO,IL,60629,13,36,13-36,8,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1493363,ISSUE,2004-05-19,2004-05-26,2004-05-26,N,2004-06-10,2004-11-15,2004-06-09,2004-06-10,AAI,,3,41.778347679,-87.73990608,"(41.7783476790774, -87.73990608038208)"
25625-20060216,1661497,63553,1,PYONG YOL YI,SUCH FOOD,3155 N CALIFORNIA AVE # 1,CHICAGO,IL,60618,33,19,33-19,14,1781,Tobacco,763,Retail Sale of Tobacco,25625,RENEW,,2005-12-21,2006-01-26,N,2006-02-16,2007-02-15,2006-01-26,2006-01-27,AAI,,,41.939165927,-87.697669105,"(41.93916592738343, -87.6976691053089)"
1803652-20070417,1803652,315027,1,JULIO RUIZ,SUNNY MASSAGE,1041 N WESTERN AVE 1ST,CHICAGO,IL,60622,1,44,1-44,12,1524,Massage Establishment,,,1803652,ISSUE,2007-03-12,2007-03-15,2007-03-15,N,2007-04-17,2008-11-15,2007-04-16,2007-04-17,AAC,2007-07-25,,41.900590814,-87.686817007,"(41.90059081441909, -87.686817006858)"
1869508-20100316,2015628,85659,153,H&R BLOCK ENTERPRISES LLC,H & R BLOCK ENTERPRISES INC,2841 N NARRAGANSETT AVE 1ST C,CHICAGO,IL,60634,36,24,36-24,25,1010,Limited Business License,,,1869508,RENEW,,2010-01-15,2010-03-10,N,2010-03-16,2012-03-15,2010-03-10,2010-03-11,AAI,,,41.932231782,-87.785583898,"(41.932231781776906, -87.78558389809231)"
4434-20021116,1278745,3242,1,TIM YAN MUI,MEE LEE RESTAURANT,6336 S PULASKI RD,CHICAGO,IL,60629,13,28,13-28,8,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,4434,RENEW,,2002-09-24,2002-10-12,N,2002-11-16,2003-11-15,2002-10-12,2002-10-15,AAI,,3,41.777509836,-87.722878922,"(41.777509836196906, -87.72287892184079)"
46002-20090616,1966508,64364,2,RANGER MANUFACTURING CO,TRIPLEX MANUFACTURING CO,3800 W 45TH ST 1ST,CHICAGO,IL,60632,14,35,14-35,8,1010,Limited Business License,,,46002,RENEW,,2009-04-15,2009-04-23,N,2009-06-16,2011-06-15,2009-04-23,2009-04-24,AAI,,,41.811675014,-87.71881528,"(41.811675013580285, -87.71881528035395)"
34097-20010816,1152553,32540,1,ALL PRO CONSTRUCTION INC,ALL PRO CONSTRUCTION INC,5442 W WARWICK AVE 1ST,CHICAGO,IL,60641,38,29,38-29,16,1010,Limited Business License,,,34097,RENEW,,2001-06-22,2001-08-09,N,2001-08-16,2002-08-15,2001-08-09,2002-06-26,AAC,2002-08-05,,41.948903383,-87.763662105,"(41.94890338275547, -87.76366210524886)"
1546133-20051028,1546133,284468,1,CHICAGO CORINTHIAN YACHT CLUB,CORINTHIAN YACHT CLUB,601 W MONTROSE DR 1,CHICAGO,IL,60613,46,33,46-33,19,1473,Not-For-Profit Club,639,"Consumption of Liquor on Premises, Not for Profit",1546133,ISSUE,2004-11-16,2005-08-26,2005-08-26,N,2005-10-28,2006-08-15,2005-10-28,2005-10-28,AAI,,,41.961920724,-87.645909529,"(41.96192072373917, -87.6459095290921)"
1845824-20070914,1845824,321522,1,LARRABEE RESTAURANT GROUP LLC,@SPOT CAFE,901 N LARRABEE ST 1ST,CHICAGO,IL,60610,27,39,27-39,18,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1845824,ISSUE,2007-08-20,2007-08-28,2007-09-07,N,2007-09-14,2008-02-15,2007-09-14,2007-09-14,AAI,,,41.898756686,-87.642878868,"(41.89875668638562, -87.64287886755926)"
1645694-20161016,2485696,296521,1,"SOLO EYECARE & EYEWEAR GALLERY, LLC","SOLO EYECARE & EYEWEAR GALLERY, LLC",1444 S MICHIGAN AVE,CHICAGO,IL,60605,3,40,3-40,1,1010,Limited Business License,,,1645694,RENEW,,2016-08-15,2016-09-27,N,2016-10-16,2018-10-15,2016-09-27,2016-09-28,AAI,,,41.862837428,-87.624195838,"(41.862837428224395, -87.6241958384141)"
6195-20101116,2056294,25344,1,CENTRAL FURNITURE MART INC,CENTRAL FURNITURE MART INC,1348 N MILWAUKEE AVE 1ST,CHICAGO,IL,60622,1,5,1-5,14,1010,Limited Business License,,,6195,RENEW,,2010-09-15,2010-10-25,N,2010-11-16,2012-11-15,2010-10-25,2010-10-26,AAI,,33,41.906236605,-87.671213348,"(41.90623660501344, -87.67121334839456)"
1577707-20050228,1577707,287055,1,"HEALTHCARE DEVELOPMENT PARTNERS, LLC",HEALTHCARE DEVELOPMENT PARTNERS,500 N MICHIGAN AVE 506,CHICAGO,IL,60611,42,48,42-48,18,1010,Limited Business License,,,1577707,ISSUE,2005-02-23,2005-02-25,2005-02-25,N,2005-02-28,2005-05-15,2005-02-25,2005-02-28,AAI,,,41.89097123,-87.624276946,"(41.890971229645146, -87.6242769455621)"
